category,mean,median,min,max,sd
Animal Host,0.015538157869186076,7.6691129038108e-4,2.14282701572525e-4,0.144974175981298,0.03411240466098805
Freshwater,0.014737726699874158,7.680368992810099e-4,1.94659784037474e-4,0.132882539881632,0.030088419440487093
Groundwater,0.014869938056969323,9.763521773262251e-4,3.0912260235382e-4,0.110467984322242,0.027093522638196563
Human Host,0.014678234275242702,6.441828011182725e-4,1.0713978656893423e-4,0.13724063544487633,0.03220655115407617
Plant Host,0.014750675646169645,9.269239167573275e-4,1.7614302476876e-4,0.11496610407790525,0.028356911912822528
Saline Water,0.014591863383062323,8.9793601905008e-4,2.6713849027655334e-4,0.13244177583134,0.030566278675766615
Sediment,0.012266471577981412,0.001013114777463562,3.8540488818206e-4,0.108373135756627,0.023704036475306542
Soil,0.015165309264120288,7.446102329139699e-4,9.37716319058257e-5,0.12145213317021779,0.030329176671984842
Wastewater,0.0143174278378704,7.5375330394178e-4,2.9661048361773e-4,0.116813458037689,0.02870132336458169
