category,mean,median,min,max,sd
Animal Host,0.0032722106876104462,0.00219624441557394,0.00103390065484173,0.01370986023885265,0.002713317887359546
Freshwater,0.003985167634129983,0.002844759269812705,8.2829417435925e-4,0.01748254694633625,0.0034182156391501873
Groundwater,0.004059997287261078,0.00311893674328012,0.0011683615402639663,0.014838723294770288,0.0029681958264500285
Human Host,0.003151772961774286,0.001934265912321085,9.114385757339675e-4,0.0148008362970712,0.002981790298258111
Plant Host,0.003897572178585589,0.0027024303165400308,0.00100045594447329,0.015157321173235351,0.0031604998139684384
Saline Water,0.0034005735967229957,0.0023631054563286163,0.00104726581136316,0.0160736079592632,0.003050646038828918
Sediment,0.003985240305710384,0.0028003393831905568,0.00126274777763846,0.017108483249206455,0.0033285663528766904
Soil,0.0035876541504230655,0.0024207313708218183,8.85897377783325e-4,0.015220934767000552,0.0029970017094992753
Wastewater,0.003959217341690476,0.0028720170963903425,8.7136871805226e-4,0.0178002222074973,0.0033293055384222884
