"","taxon","average","overall","sd","ratio","ava","avb","ord","cusum","p","contribution","comparison_1","comparison_2","microgroup"
"1","Acidobacteriota",0.0173543356993701,0.341005891227764,0.00912124650888693,1.90262763784112,0.15034423047449,0.0298416448299531,2,0.13244177583134,2e-04,0.13244177583134,"Soil","Saline Water","Bonafide"
"2","Actinomycetota",0.045163425803154,0.341005891227764,0.0252582219945344,1.78806828972075,0.533005856065265,0.237101907195073,133,0.237058242327783,2e-04,0.104616466496443,"Soil","Saline Water","Bonafide"
"3","Aquificota",0.00094519977380971,0.341005891227764,0.00058362134639641,1.61954284168301,0.00728342980285069,0.0129657111122757,7,0.334102321454374,2e-04,0.0970440791265909,"Soil","Saline Water","Bonafide"
"4","Armatimonadota",0.00193928521381881,0.341005891227764,0.00093921519445244,2.06479327131137,0.0248537495301116,0.0120283372014688,152,0.393898880526713,2e-04,0.0597965590723385,"Soil","Saline Water","Bonafide"
"5","Bacteroidota",0.0330926026909408,0.341005891227764,0.0189247071505916,1.74864543094958,0.211014592392491,0.350615445912438,146,0.512447206496503,2e-04,0.0331391115972772,"Soil","Saline Water","Bonafide"
"6","Bdellovibrionota",0.00246271950910201,0.341005891227764,0.0018061420861947,1.36352479017342,0.0200780047617584,0.0353597684073207,12,0.564486726523512,2e-04,0.0229692453329343,"Soil","Saline Water","Bonafide"
"7","Caldisericota",0.00043410933328937,0.341005891227764,0.00043409452182708,1.00003412036214,0.00240866204498398,0.00467988712031326,138,0.583294087946596,2e-04,0.0188073614230841,"Soil","Saline Water","Bonafide"
"8","Campylobacterota",0.00783264797558643,0.341005891227764,0.00533296604378514,1.46872264163661,0.0248179412272664,0.0786519396008919,130,0.61949980904643,2e-04,0.0179522484058934,"Soil","Saline Water","Bonafide"
"9","Ca. division CPR3",0.00028118518730625,0.341005891227764,0.00020469237825704,1.37369642045562,0.00122687110030278,0.00252752502477707,155,0.66761242458894,2e-04,0.0154967278651927,"Soil","Saline Water","CPR"
"10","Ca. division NC10",0.00172702978676273,0.341005891227764,0.00080970164302071,2.13292118356063,0.0177692360204378,0.00594724851281136,135,0.68208982116207,2e-04,0.01447739657313,"Soil","Saline Water","CPR"
"11","Ca. Altiarchaeota",0.00040016466804689,0.341005891227764,0.00035002373900679,1.14325008121559,0.0008376267590529,0.00321853043053035,9,0.761460161623993,2e-04,0.00722192657796972,"Soil","Saline Water","DPANN"
"12","Ca. Aminicenantes",0.00208114989645252,0.341005891227764,0.00119779089459555,1.73749016280112,0.0223478309924648,0.00811130258658651,26,0.774215221792176,0.0076,0.00610297343825794,"Soil","Saline Water","CPR"
"13","Ca. Berkelbacteria",0.00077142500810557,0.341005891227764,0.00053723144006304,1.4359267730404,0.00669662728166325,0.0106406156495467,16,0.801080754583116,2e-04,0.00506451598400459,"Soil","Saline Water","CPR"
"14","Ca. Bipolaricaulota",0.00053711523564891,0.341005891227764,0.00031947542476558,1.68124116602405,0.00509665104288918,0.00159044131289881,91,0.805049697085037,2e-04,0.00396894250192192,"Soil","Saline Water","CPR"
"15","Ca. Calescamantes",0.00032987303521425,0.341005891227764,0.00024390031730444,1.35249120976951,0.00094361882737521,0.00263843107704905,134,0.823333285197208,2e-04,0.00346583576878601,"Soil","Saline Water","CPR"
"16","Ca. Campbellbacteria",0.00064934893484718,0.341005891227764,0.00038318408888864,1.69461351260829,0.00332410380086241,0.00723620234107919,144,0.826711100569727,2e-04,0.00337781537251935,"Soil","Saline Water","CPR"
"17","Ca. Coatesbacteria",0.00061138016094401,0.341005891227764,0.00034435976613894,1.77541112830622,0.00598771924669736,0.00202978726705437,111,0.836510650251593,4e-04,0.00317921983353631,"Soil","Saline Water","CPR"
"18","Ca. Curtissbacteria",0.00070988508002014,0.341005891227764,0.00041548124285276,1.70858514609696,0.00551873609922532,0.00957782788113245,89,0.845636711200593,2e-04,0.00297081491110773,"Soil","Saline Water","CPR"
"19","Ca. Diapherotrites",0.00051469945304387,0.341005891227764,0.00034080728739888,1.51023605443465,0.00148369078468019,0.00471540665606695,75,0.859413604354846,2e-04,0.00258539026007099,"Soil","Saline Water","DPANN"
"20","Ca. Eisenbacteria",0.00178089140362672,0.341005891227764,0.00116501010750012,1.52864888653039,0.0171095079257089,0.00487872750733642,87,0.866883249034204,2e-04,0.00241482113194313,"Soil","Saline Water","CPR"
"21","Ca. Fraserbacteria",0.00044925874168697,0.341005891227764,0.00032067245899643,1.4009894803344,0.00427221985002287,0.00142117669428795,53,0.876042811442826,2e-04,0.00223996161299667,"Soil","Saline Water","CPR"
"22","Ca. Glassbacteria",0.00078674376978812,0.341005891227764,0.00041584254605298,1.89192707012686,0.00856160260535051,0.00324623900672107,69,0.880460183569557,2e-04,0.00217811771355902,"Soil","Saline Water","CPR"
"23","Ca. Gribaldobacteria",0.00040100482773756,0.341005891227764,0.00036946859182626,1.08535566110077,0.00218413342669531,0.00398964755217511,103,0.88685746581422,2e-04,0.00210748868352317,"Soil","Saline Water","CPR"
"24","Ca. Handelsmanbacteria",0.00127533599640156,0.341005891227764,0.00060241839748123,2.11702697283791,0.0137988873556288,0.0051148761924649,59,0.88894536748829,2e-04,0.00208790167407025,"Soil","Saline Water","CPR"
"25","Ca. Heimdallarchaeota",0.00086857259416097,0.341005891227764,0.00073277358483856,1.18532192225832,0.00254577563387532,0.00803411398879707,121,0.893098601322449,2e-04,0.00207149537074314,"Soil","Saline Water","CPR"
"26","Ca. Korarchaeota",0.00015695807385271,0.341005891227764,0.00016894909973452,0.929025807768979,0.00083023083262893,0.00073806788232264,106,0.908165020809644,0.0038,0.00177551832872269,"Soil","Saline Water","CPR"
"27","Ca. Lindowbacteria",0.00088163330980706,0.341005891227764,0.00043872165309787,2.00955048282144,0.00959315462254298,0.00358084933571252,92,0.913338600276667,2e-04,0.00168444413613422,"Soil","Saline Water","CPR"
"28","Ca. Margulisbacteria",0.0006573950017601,0.341005891227764,0.00072200705838309,0.910510491728858,0.00334380240059386,0.00747269353153238,19,0.921074686574989,2e-04,0.00148202113953777,"Soil","Saline Water","CPR"
"29","Ca. Marinimicrobia",0.00283256434614005,0.341005891227764,0.00305806019725134,0.926261801087509,0.00720475504848186,0.0266220696362031,107,0.922542962794541,2e-04,0.00146827621955203,"Soil","Saline Water","CPR"
"30","Ca. Melainabacteria",0.00130597944804335,0.341005891227764,0.00099704161914952,1.30985449650271,0.00641582425586853,0.0137562690287382,21,0.923982304129091,2e-04,0.00143934133454993,"Soil","Saline Water","CPR"
"31","Ca. Parcubacteria",0.0003891897444944,0.341005891227764,0.00038085592407601,1.02188181905955,0.00106080233310869,0.00343939134509292,124,0.938890234188486,2e-04,0.00132423769579848,"Soil","Saline Water","CPR"
"32","Ca. Rokubacteria",0.00622454172399884,0.341005891227764,0.00413558435556992,1.50511782346199,0.0553974720023194,0.0122448584886338,76,0.947868893999404,2e-04,0.00125315579979224,"Soil","Saline Water","CPR"
"33","Ca. Sumerlaeota",0.00050069084081686,0.341005891227764,0.00027413337096004,1.82644980092501,0.0047144486771645,0.00140823262526661,45,0.956128919747965,2e-04,0.00115262821176987,"Soil","Saline Water","CPR"
"34","Ca. Tectomicrobia",0.00108413269274405,0.341005891227764,0.00057301582089978,1.89197689348555,0.0111240547722255,0.00391839186051923,22,0.960659879704443,2e-04,0.00111775645810208,"Soil","Saline Water","CPR"
"35","Ca. Wallbacteria",0.00045533808717955,0.341005891227764,0.00026414223312741,1.72383674427373,0.00475252542262251,0.00173633497513733,54,0.968162482685411,2e-04,0.00104675020306144,"Soil","Saline Water","CPR"
"36","Ca. Wirthbacteria",0.00031123843939234,0.341005891227764,0.00031372482219233,0.992074637949853,0.00329872473366313,0.00161929860178398,97,0.970211306946261,0.0118,0.00102114883848803,"Soil","Saline Water","CPR"
"37","Chloroflexota",0.00612182246719388,0.341005891227764,0.00318886972567708,1.91974680492602,0.0711535818105819,0.0295907039668552,119,0.979721450379044,0.0276,0.0009063933983261,"Soil","Saline Water","Bonafide"
"38","Cyanobacteriota",0.0356748313947191,0.341005891227764,0.0314607797803018,1.13394619090325,0.0889061019679032,0.316442480931922,14,0.982404836916775,2e-04,0.0008746014369968,"Soil","Saline Water","Bonafide"
"39","Deinococcota",0.00493687752107792,0.341005891227764,0.00519716626056795,0.949917180548004,0.0552925331336762,0.0211968870398773,139,0.984119328587749,2e-04,0.00084295193697991,"Soil","Saline Water","Bonafide"
"40","Dictyoglomota",0.00065983574400226,0.341005891227764,0.00052357953613024,1.26023975054313,0.00275310121934703,0.00662972058594093,132,0.984961113541481,2e-04,0.00084178495373166,"Soil","Saline Water","Bonafide"
"41","Elusimicrobiota",0.00273701534771366,0.341005891227764,0.00136026452421416,2.012119921524,0.0392445898100723,0.0209548821044308,109,0.985794482067419,8e-04,0.00083336852593751,"Soil","Saline Water","Bonafide"
"42","Gemmatimonadota",0.00555997157034305,0.341005891227764,0.00270892025412077,2.05246779113756,0.0526042758661469,0.0139671657525512,117,0.989043035187797,2e-04,0.00080227072488681,"Soil","Saline Water","Bonafide"
"43","Mycoplasmatota",0.00490569983040181,0.341005891227764,0.00264957087298686,1.85150730649134,0.0151969844932315,0.0485963807635371,84,0.9921887232301,2e-04,0.00077682723934657,"Soil","Saline Water","Bonafide"
"44","Myxococcota",0.0113006322847259,0.341005891227764,0.00516489787400376,2.18796819615831,0.116106126075137,0.0384961914090346,20,0.992960779324361,2e-04,0.00077205609426034,"Soil","Saline Water","Bonafide"
"45","Nanoarchaeota",0.00035044337329562,0.341005891227764,0.00035053611670805,0.999735424088947,0.00127800328788314,0.00265765492928535,47,0.993720066415646,0.0038,0.00075928709128569,"Soil","Saline Water","DPANN"
"46","Planctomycetota",0.00991313493028888,0.341005891227764,0.00529930169531877,1.87064928555508,0.125213135620043,0.0600606597436386,86,0.996449682052962,2e-04,0.00063195276847949,"Soil","Saline Water","Bonafide"
"47","Thermomicrobiota",0.00289473481978907,0.341005891227764,0.00502011024300209,0.576627739166537,0.0250001661529011,0.00495220455461304,72,0.99903301328118,2e-04,0.0004602796546641,"Soil","Saline Water","Bonafide"
"48","Acidobacteriota",0.0190863729667885,0.422282198993216,0.0101617871707426,1.8782496273629,0.15034423047449,0.0255580827618934,6,0.144974175981298,2e-04,0.144974175981298,"Soil","Animal Host","Bonafide"
"49","Actinomycetota",0.0439689266560025,0.422282198993216,0.0289683221517298,1.51782786816933,0.533005856065265,0.267888768308205,7,0.252124350519943,2e-04,0.107150174538645,"Soil","Animal Host","Bonafide"
"50","Armatimonadota",0.00233347484748976,0.422282198993216,0.00131855193966387,1.76972539139007,0.0248537495301116,0.0104090156144987,2,0.462652279124264,2e-04,0.104122140977837,"Soil","Animal Host","Bonafide"
"51","Bacillota",0.0612200138306119,0.422282198993216,0.0323626796688125,1.8916855605628,0.138772543375465,0.537117665592813,151,0.539604235079886,2e-04,0.031753808810672,"Soil","Animal Host","Bonafide"
"52","Bacteroidota",0.0452476113266858,0.422282198993216,0.0299883382625663,1.50884023417754,0.211014592392491,0.431868062931004,146,0.571211236495422,2e-04,0.0316070014155355,"Soil","Animal Host","Bonafide"
"53","Balneolota",0.00050833388506182,0.422282198993216,0.00043609659870811,1.16564514964736,0.00581288309387558,0.00379032354633326,138,0.594504330638323,0.0276,0.0232930941429016,"Soil","Animal Host","Bonafide"
"54","Campylobacterota",0.00774308562208745,0.422282198993216,0.00984987458269203,0.786110072476802,0.0248179412272664,0.0714644364319188,130,0.664003903750105,0.039,0.0160047395708475,"Soil","Animal Host","Bonafide"
"55","Ca. division NC10",0.00191730637695627,0.422282198993216,0.00099191768995001,1.93292890769282,0.0177692360204378,0.00550203228163368,155,0.721281413011394,2e-04,0.0134535154494616,"Soil","Animal Host","CPR"
"56","Ca. Bipolaricaulota",0.00056456374486869,0.422282198993216,0.00035641737667577,1.58399612873607,0.00509665104288918,0.00174258895544541,16,0.830998414450451,2e-04,0.00454034383056512,"Soil","Animal Host","CPR"
"57","Ca. Doudnabacteria",0.00062847920458201,0.422282198993216,0.00049457676175046,1.27074147672775,0.00796423046035062,0.00532209488024196,77,0.885022200247429,0.0254,0.00223510849865372,"Soil","Animal Host","CPR"
"58","Ca. Eisenbacteria",0.00205914545765689,0.422282198993216,0.00128561742675346,1.60167824020308,0.0171095079257089,0.00367059759051282,89,0.889310291133014,2e-04,0.00212795150586575,"Soil","Animal Host","CPR"
"59","Ca. Fraserbacteria",0.00043594525869212,0.422282198993216,0.00034311473046803,1.27055244202853,0.00427221985002287,0.0017462195207327,143,0.897494132866874,2e-04,0.001957234659822,"Soil","Animal Host","CPR"
"60","Ca. Glassbacteria",0.00084475782974622,0.422282198993216,0.00052093188303154,1.62162819605163,0.00856160260535051,0.00338793631884638,122,0.901318234116787,0.007,0.00189820902783533,"Soil","Animal Host","CPR"
"61","Ca. Handelsmanbacteria",0.00145207181875542,0.422282198993216,0.0007138339776313,2.03418702983821,0.0137988873556288,0.00440618260092897,5,0.90846992551403,2e-04,0.00174451056050084,"Soil","Animal Host","CPR"
"62","Ca. Lindowbacteria",0.00105111459860818,0.422282198993216,0.00052364877250744,2.00728933933143,0.00959315462254298,0.0028373361517156,41,0.927945848316476,2e-04,0.0013900027998065,"Soil","Animal Host","CPR"
"63","Ca. Lloydbacteria",0.00094384653179992,0.422282198993216,0.00361608276647514,0.261013531147674,0.00561265267633461,0.00701653462435281,121,0.930716347932718,0.0438,0.00138343216073655,"Soil","Animal Host","CPR"
"64","Ca. Micrarchaeota",0.00067936416171497,0.422282198993216,0.00170422780742162,0.398634594950547,0.00514557016262828,0.0052429834130778,48,0.938455698012764,0.0208,0.0012489323955448,"Soil","Animal Host","DPANN"
"65","Ca. Rokubacteria",0.00693209405521303,0.422282198993216,0.0045245235853555,1.5321157961581,0.0553974720023194,0.00997820593134106,29,0.95845151747029,2e-04,0.00107850593601133,"Soil","Animal Host","CPR"
"66","Ca. Sumerlaeota",0.00060200168206669,0.422282198993216,0.00048837228037415,1.2326696380177,0.0047144486771645,0.00345502053245021,101,0.965711421638154,2e-04,0.00101313780386991,"Soil","Animal Host","CPR"
"67","Ca. Tectomicrobia",0.0011644446604144,0.422282198993216,0.0006538268858951,1.78096784567102,0.0111240547722255,0.00376864966019151,118,0.969631331663317,2e-04,0.00095958945175678,"Soil","Animal Host","CPR"
"68","Ca. Thermoplasmatota",0.00135744379948276,0.422282198993216,0.00218110391441065,0.622365486813381,0.004471331020396,0.0115718099097331,25,0.97149030616138,2e-04,0.00092900026708064,"Soil","Animal Host","CPR"
"69","Chlorobiota",0.00147819337337357,0.422282198993216,0.00104135374462705,1.41949206117559,0.0190782906322528,0.0138303385314628,27,0.984570520594339,0.0056,0.00071611965252804,"Soil","Animal Host","Bonafide"
"70","Chloroflexota",0.00675851662029122,0.422282198993216,0.00403155842503386,1.67640299550774,0.0711535818105819,0.0285193506588236,43,0.985279910499377,0.0048,0.00070938990503732,"Soil","Animal Host","Bonafide"
"71","Deferribacterota",0.00209950729321135,0.422282198993216,0.00419369151197613,0.500634652600384,0.0071639117217448,0.0178901616889945,60,0.988075001753971,2e-04,0.00069192249592686,"Soil","Animal Host","Bonafide"
"72","Deinococcota",0.00499233337997192,0.422282198993216,0.00576027173270934,0.866683658623824,0.0552925331336762,0.0237225785257439,109,0.988765157042729,4e-04,0.00069015528875848,"Soil","Animal Host","Bonafide"
"73","Elusimicrobiota",0.00313491541919772,0.422282198993216,0.00209706259365524,1.49490789101029,0.0392445898100723,0.0213682320583172,132,0.990102396953735,0.0022,0.00065700092686515,"Soil","Animal Host","Bonafide"
"74","Fibrobacterota",0.00229037689247777,0.422282198993216,0.00644037920599932,0.355627645394583,0.00465432611793792,0.0194761198137209,96,0.991376277785344,2e-04,0.00063110675266431,"Soil","Animal Host","Bonafide"
"75","Gemmatimonadota",0.00635971958846204,0.422282198993216,0.00310573616814446,2.04773336952884,0.0526042758661469,0.0156720440043168,34,0.992591692707804,2e-04,0.00060747426871088,"Soil","Animal Host","Bonafide"
"76","Lentisphaerota",0.00169795073252325,0.422282198993216,0.00118735539592728,1.43002738552194,0.0212156942896491,0.0148979407996517,84,0.994279358096888,0.0434,0.00055227452043693,"Soil","Animal Host","Bonafide"
"77","Mycoplasmatota",0.00457142196006499,0.422282198993216,0.00417692825761857,1.09444588896802,0.0151969844932315,0.0433424408557124,15,0.994816040523468,2e-04,0.00053668242657933,"Soil","Animal Host","Bonafide"
"78","Myxococcota",0.0133470740613341,0.422282198993216,0.0060646598098689,2.20079517726858,0.116106126075137,0.0297287041172911,93,0.995348410973812,2e-04,0.00053237045034404,"Soil","Animal Host","Bonafide"
"79","Planctomycetota",0.0134090682109807,0.422282198993216,0.00664733737709181,2.01720891393166,0.125213135620043,0.0400270706013934,37,0.997668045654434,2e-04,0.00040211968520176,"Soil","Animal Host","Bonafide"
"80","Pseudomonadota",0.0449332699845172,0.422282198993216,0.0292684235468055,1.53521319358594,0.659331831327611,0.470819773626606,86,0.998063628958759,2e-04,0.00039558330432543,"Soil","Animal Host","Bonafide"
"81","Spirochaetota",0.00611145873877838,0.422282198993216,0.00646821999245548,0.944843982719632,0.0325180809201887,0.0671769470802088,67,0.998446878677424,2e-04,0.00038324971866488,"Soil","Animal Host","Bonafide"
"82","Thermomicrobiota",0.00312615406408513,0.422282198993216,0.00537196392635894,0.58193876707657,0.0250001661529011,0.0046244147268525,23,0.999391727863421,8e-04,0.00027803760146138,"Soil","Animal Host","Bonafide"
"83","Thermoproteota",0.00251920985830778,0.422282198993216,0.00336328546609889,0.749032421928144,0.0106932493251929,0.0235579357709715,114,0.999665791624222,2e-04,0.00027406376080063,"Soil","Animal Host","Bonafide"
"84","Acidobacteriota",0.0226187105675639,0.502170453517015,0.0103720478593623,2.180737196189,0.15034423047449,0.0112887211411471,6,0.141210231753128,2e-04,0.141210231753128,"Soil","Human Host","Bonafide"
"85","Actinomycetota",0.0395063017740578,0.502170453517015,0.0277402561232762,1.42415057735927,0.533005856065265,0.398045044446822,152,0.25625490967764,4e-04,0.115044677924512,"Soil","Human Host","Bonafide"
"86","Armatimonadota",0.00324426796777618,0.502170453517015,0.00110541827224971,2.93487818070309,0.0248537495301116,0.00487436057583131,2,0.441065433713862,2e-04,0.0786710996184072,"Soil","Human Host","Bonafide"
"87","Bacillota",0.0709116061207109,0.502170453517015,0.0349759827142976,2.0274371330737,0.138772543375465,0.569800230739513,151,0.521511968957054,2e-04,0.0354046368018346,"Soil","Human Host","Bonafide"
"88","Bacteroidota",0.0533000828959288,0.502170453517015,0.0352775758720858,1.51087713875782,0.211014592392491,0.464296162755833,146,0.554358599503234,2e-04,0.0328466305461802,"Soil","Human Host","Bonafide"
"89","Balneolota",0.00067880625544677,0.502170453517015,0.00045152701147012,1.50335691598304,0.00581288309387558,0.00160969521701174,140,0.584010690455955,4e-04,0.029652090952721,"Soil","Human Host","Bonafide"
"90","Calditrichota",0.00089694204624669,0.502170453517015,0.00049986757973362,1.79435931156941,0.00768136855564168,0.00219359415304966,130,0.644417225658777,0.001,0.0183555957929876,"Soil","Human Host","Bonafide"
"91","Ca. division NC10",0.00241921688698607,0.502170453517015,0.00094269584542845,2.56627511271839,0.0177692360204378,0.00292912263785456,155,0.723446201091477,2e-04,0.0152325377695995,"Soil","Human Host","CPR"
"92","Ca. division Zixibacteria",0.00113487841917014,0.502170453517015,0.00051808984645394,2.19050503872597,0.00960652584146673,0.00263977754364781,150,0.761772407376644,2e-04,0.00999860278816844,"Soil","Human Host","CPR"
"93","Ca. Absconditabacteria",0.0008703567896512,0.502170453517015,0.00131566855488003,0.66153195379103,0.00289329928567177,0.00688801445218846,137,0.781207151867855,6e-04,0.00956152575655089,"Soil","Human Host","CPR"
"94","Ca. Adlerbacteria",0.00063244924731862,0.502170453517015,0.00033736915173862,1.87465049504175,0.00520679692448119,0.00140570516488447,154,0.790039854529131,0.0166,0.00883270266127545,"Soil","Human Host","CPR"
"95","Ca. Amesbacteria",0.00051378954642638,0.502170453517015,0.0003112310488615,1.65082998083211,0.00457144936735767,0.00157382928914762,148,0.810653655931464,0.007,0.00658603896726828,"Soil","Human Host","CPR"
"96","Ca. Aminicenantes",0.00291642020006541,0.502170453517015,0.00138608897422693,2.10406420821001,0.0223478309924648,0.0045511010850388,4,0.817114147473837,0.001,0.00646049154237271,"Soil","Human Host","CPR"
"97","Ca. Bipolaricaulota",0.00068746384245041,0.502170453517015,0.00034160311973518,2.01246359513153,0.00509665104288918,0.00100074228513399,129,0.846762394971483,2e-04,0.00424416880696987,"Soil","Human Host","CPR"
"98","Ca. Blackallbacteria",0.00047833048102831,0.502170453517015,0.00027874102177188,1.71603906015587,0.00417238547472685,0.00129674099958458,9,0.850782938472151,0.0164,0.00402054350066849,"Soil","Human Host","CPR"
"99","Ca. Coatesbacteria",0.0007744161530975,0.502170453517015,0.0003682806983349,2.10278778279404,0.00598771924669736,0.00149223529228189,75,0.874933870880094,0.0022,0.00259023938116576,"Soil","Human Host","CPR"
"100","Ca. Dadabacteria",0.00069985350114377,0.502170453517015,0.00034026240508038,2.05680524999065,0.00574954325263118,0.00156732251280617,19,0.884402135859427,0.0276,0.00225994662016038,"Soil","Human Host","CPR"
"101","Ca. Doudnabacteria",0.0008814679881011,0.502170453517015,0.00047073387083717,1.87253996941726,0.00796423046035062,0.00258161941948823,53,0.895351774717131,2e-04,0.00207232610958796,"Soil","Human Host","CPR"
"102","Ca. Edwardsbacteria",0.000713537809957,0.502170453517015,0.00032200800467298,2.21590084594835,0.00615391716797823,0.00206888706510007,89,0.897333806394763,0.014,0.00198203167763145,"Soil","Human Host","CPR"
"103","Ca. Eisenbacteria",0.00244650049046759,0.502170453517015,0.00130520345046346,1.87442079592946,0.0171095079257089,0.0020493614527172,99,0.89926306625096,2e-04,0.00192925985619752,"Soil","Human Host","CPR"
"104","Ca. Fraserbacteria",0.0005309645293193,0.502170453517015,0.00034018904664138,1.56079254920583,0.00427221985002287,0.0010685363297385,21,0.906382898790326,2e-04,0.00173318996280147,"Soil","Human Host","CPR"
"105","Ca. Glassbacteria",0.00112094869638931,0.502170453517015,0.00046396391275346,2.4160256122871,0.00856160260535051,0.00169671213700588,74,0.909786817829775,4e-04,0.00169710962171055,"Soil","Human Host","CPR"
"106","Ca. Handelsmanbacteria",0.00184789403351253,0.502170453517015,0.00068609693278025,2.69334250777709,0.0137988873556288,0.0024511992636348,81,0.916055217640273,2e-04,0.00153556128875831,"Soil","Human Host","CPR"
"107","Ca. Hydrogenedentes",0.00037370301376563,0.502170453517015,0.00022575678821317,1.65533456036218,0.00309801169417128,0.00086468635885094,36,0.921982838802527,0.0302,0.00145759434486825,"Soil","Human Host","CPR"
"108","Ca. Jorgensenbacteria",0.00068577475599308,0.502170453517015,0.00038239066838686,1.79338779077966,0.00613534086314383,0.00195779042550366,51,0.924853411970431,0.0044,0.00142090759215252,"Soil","Human Host","CPR"
"109","Ca. Kaiserbacteria",0.00160869669054897,0.502170453517015,0.0007633707422083,2.10735963746171,0.0146797914470224,0.00490131000754163,57,0.926273473537219,0.0156,0.00142006156678764,"Soil","Human Host","CPR"
"110","Ca. Komeilibacteria",0.00062700178223165,0.502170453517015,0.00039012027808999,1.60720120805157,0.00580469668757178,0.0021827494546669,29,0.929052558600136,0.0156,0.00138542779725759,"Soil","Human Host","CPR"
"111","Ca. Lindowbacteria",0.00130074168475762,0.502170453517015,0.00048098819014538,2.70431106502733,0.00959315462254298,0.00156677526026867,8,0.934495623615585,2e-04,0.00135174471276178,"Soil","Human Host","CPR"
"112","Ca. Liptonbacteria",0.00074123830273576,0.502170453517015,0.00035539683966165,2.08566374265296,0.00643574784763783,0.00190129588258553,3,0.935838036696401,0.0012,0.00134241308081584,"Soil","Human Host","CPR"
"113","Ca. Micrarchaeota",0.00061551366651024,0.502170453517015,0.00039620718280266,1.55351465906364,0.00514557016262828,0.00141017693112968,123,0.944945940244461,0.0436,0.00126253624849482,"Soil","Human Host","DPANN"
"114","Ca. Moranbacteria",0.00112955590367191,0.502170453517015,0.00074788679608297,1.51033005207193,0.0109019968338216,0.00437125012745645,71,0.94745395524361,0.0408,0.00124858357922175,"Soil","Human Host","CPR"
"115","Ca. Omnitrophica",0.00338989556984012,0.502170453517015,0.00135351832090616,2.50450660141093,0.0288780785929165,0.00806854808454853,106,0.954742263253426,6e-04,0.00118861233508194,"Soil","Human Host","CPR"
"116","Ca. Peregrinibacteria",0.00137721529047197,0.502170453517015,0.00071696698340584,1.92089081135886,0.0138790377450383,0.0056761761378727,48,0.958234795683434,0.0404,0.00115202491852939,"Soil","Human Host","CPR"
"117","Ca. Raymondbacteria",0.00056118645629944,0.502170453517015,0.00028339201773785,1.98024792927849,0.0048029322342146,0.00148786307453656,103,0.96160332142451,6e-04,0.00110883633519598,"Soil","Human Host","CPR"
"118","Ca. Riflebacteria",0.00068130157344026,0.502170453517015,0.00029582542493553,2.30305280078185,0.00555655096257556,0.00144183477489948,44,0.96269537343713,0.0326,0.00109205201262041,"Soil","Human Host","CPR"
"119","Ca. Rokubacteria",0.00817117890105182,0.502170453517015,0.00470525130169861,1.7366083928614,0.0553974720023194,0.00511026864586851,28,0.964824659880594,2e-04,0.00106313297227634,"Soil","Human Host","CPR"
"120","Ca. Saccharibacteria",0.00495803872965691,0.502170453517015,0.0059829522802625,0.828694346437171,0.0123665678109496,0.0365984410119425,56,0.966939405519658,2e-04,0.0010573392472627,"Soil","Human Host","CPR"
"121","Ca. Sumerlaeota",0.00066724746834417,0.502170453517015,0.00028408990903221,2.34871935654886,0.0047144486771645,0.00062139337500918,121,0.971979540315371,2e-04,0.00096172399977634,"Soil","Human Host","CPR"
"122","Ca. Sungbacteria",0.00085710925937245,0.502170453517015,0.00056688502516747,1.51196313418094,0.00708845556199691,0.00184543966856106,33,0.972932066450029,0.0014,0.00095252613465846,"Soil","Human Host","CPR"
"123","Ca. Tectomicrobia",0.00148969131268936,0.502170453517015,0.000666519597429,2.23503002527701,0.0111240547722255,0.00209210206787467,117,0.975720446754376,2e-04,0.00089565544592373,"Soil","Human Host","CPR"
"124","Ca. Terrybacteria",0.00047678051350905,0.502170453517015,0.00023552504312666,2.02433043713593,0.0038564143598411,0.00134049810936526,124,0.976612289793938,0.0376,0.00089184303956146,"Soil","Human Host","CPR"
"125","Ca. Uhrbacteria",0.00147878606882149,0.502170453517015,0.00066163494728844,2.235048307049,0.0135113260912599,0.00454442951738367,39,0.979215880249631,0.0188,0.0008485236423068,"Soil","Human Host","CPR"
"126","Ca. Wallbacteria",0.00058337512576352,0.502170453517015,0.00028310988969358,2.06059606887956,0.00475252542262251,0.00134865111682552,54,0.981703834769489,8e-04,0.00082297631583561,"Soil","Human Host","CPR"
"127","Ca. Wirthbacteria",0.00040890744994744,0.502170453517015,0.00033540290747569,1.21915296747115,0.00329872473366313,0.00106395260537658,55,0.983268760871879,0.0144,0.00075064591707862,"Soil","Human Host","CPR"
"128","Chlorobiota",0.00213129617459882,0.502170453517015,0.00087276234009308,2.44201207670293,0.0190782906322528,0.00634746838674833,96,0.989194563938489,2e-04,0.00060820637350533,"Soil","Human Host","Bonafide"
"129","Chloroflexota",0.0092176378639396,0.502170453517015,0.00382604566004613,2.40918135405327,0.0711535818105819,0.0145422745527906,136,0.989767863866486,2e-04,0.00057329992799726,"Soil","Human Host","Bonafide"
"130","Chrysiogenota",0.00060978644986318,0.502170453517015,0.00028955226160804,2.10596334657068,0.00527201402923906,0.00176021414130496,132,0.990299281061553,0.0336,0.00053141719506755,"Soil","Human Host","Bonafide"
"131","Deinococcota",0.00717248204196049,0.502170453517015,0.00597574604233095,1.2002655385875,0.0552925331336762,0.0116637849064605,20,0.99232510306628,2e-04,0.00050367729093181,"Soil","Human Host","Bonafide"
