category,mean,median,min,max,sd
Animal Host,0.006838914870637846,0.001957234659822,1.2373080132943e-4,0.144974175981298,0.0185108020395071
Freshwater,0.005874284214236823,0.00247732116804533,1.94659784037474e-4,0.132882539881632,0.013626049352397118
Groundwater,0.0066669776983930866,0.00277342819101843,3.0912260235382e-4,0.110467984322242,0.014172456323404655
Human Host,0.00675943760582734,0.001741864581359525,7.63925069089399e-5,0.141210231753128,0.01898274674403064
Plant Host,0.006145237150263193,0.0024903227432423835,1.7614302476876e-4,0.11496610407790525,0.01414278151034707
Saline Water,0.007293026374074846,0.0020316697640227225,2.6713849027655334e-4,0.13244177583134,0.018276692096431405
Sediment,0.005640472672669167,0.00246810486251414,3.8540488818206e-4,0.108373135756627,0.010999873082935529
Soil,0.006699520185318659,0.002120956232401215,9.37716319058257e-5,0.12145213317021779,0.016623787800605527
Wastewater,0.007123032188383196,0.00211578601788098,2.87668537134825e-4,0.116813458037689,0.01646141902055535
